Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Min/Data.Sequence:1000,2.954841001197334e-5,2.9514739044246254e-5,2.9573764020889533e-5,1.0598373494805982e-7,8.054821627123785e-8,1.4086352036010244e-7
Min/Data.Massiv.Array:1000,5.60939711982238e-7,5.60557638329369e-7,5.612474041097176e-7,1.1455322218756139e-9,9.694847721041057e-10,1.3994821229665546e-9
Min/Data.RRBVector:1000,9.024348984283432e-6,9.016753325997358e-6,9.033283015039447e-6,2.7014234624536614e-8,2.290949929472568e-8,3.4649731046929006e-8
Min/Data.List:10000,2.3906932603542865e-5,2.389040420766885e-5,2.3919985215354837e-5,4.827982792881737e-8,3.635407901040261e-8,7.019069725960096e-8
Min/Data.Vector:10000,1.821136202166444e-5,1.8197681174269834e-5,1.822614356470261e-5,4.856793252946024e-8,3.970721231455081e-8,6.348362119721908e-8
Min/Data.Vector.Unboxed:10000,1.5610076620452636e-5,1.5599626592941657e-5,1.562159099127278e-5,3.717158201661471e-8,3.0276187157828624e-8,5.0510128361203107e-8
Min/Data.Vector.Storable:10000,1.0433752201999335e-5,1.0424896433964503e-5,1.0440680453689561e-5,2.5215256021416652e-8,1.8893984760791287e-8,3.3716600163656634e-8
Min/Data.Sequence:10000,3.066147056032844e-4,3.063634589243331e-4,3.0683389317629053e-4,7.878040728257407e-7,6.624564325864601e-7,9.346974436457124e-7
Min/Data.Massiv.Array:10000,5.253375738497768e-6,5.2497541473614755e-6,5.256699128807188e-6,1.0806109631034407e-8,9.003507253250826e-9,1.3936505771524268e-8
Min/Data.RRBVector:10000,8.939032766002351e-5,8.931010119238796e-5,8.94765627087531e-5,2.7831479752513517e-7,2.270528844879831e-7,3.5010942549495945e-7
Max/Data.List:10,2.47395306147734e-8,2.4721955668808563e-8,2.475448737830581e-8,5.224907667584054e-11,4.225077499044557e-11,7.075674429549857e-11
Max/Data.Vector:10,2.359193740027195e-8,2.3574977921483097e-8,2.3610569488481952e-8,5.816312263919054e-11,4.822207431421941e-11,7.273117158815151e-11
Max/Data.Vector.Unboxed:10,2.28461885661991e-8,2.28261411760582e-8,2.2865844605663594e-8,6.932502546090144e-11,5.7669716586208305e-11,8.949432442166046e-11
Max/Data.Vector.Storable:10,1.4247874895694782e-8,1.423320650732834e-8,1.4258781639099281e-8,4.2633985411344846e-11,3.351771233653585e-11,5.535801590101385e-11
Max/Data.Sequence:10,2.4216296962421597e-7,2.4195487706870404e-7,2.4237348778253013e-7,7.390544287986535e-10,5.946163164446454e-10,9.920009307712079e-10
Max/Data.Massiv.Array:10,2.5020396566190897e-8,2.500353144016044e-8,2.5038138872130375e-8,5.791417259781382e-11,4.872167510409142e-11,7.317110325630238e-11
Max/Data.RRBVector:10,8.846714014480104e-8,8.838081236720527e-8,8.85573314223202e-8,2.9031169897234764e-10,2.2262755552915375e-10,3.9242837242907763e-10
Max/Data.List:100,2.415372904514934e-7,2.412605450573639e-7,2.4178601777652704e-7,9.152329794292901e-10,7.388467074259257e-10,1.1840337925731726e-9
Max/Data.Vector:100,1.9614974592754496e-7,1.959747807027749e-7,1.962880863957487e-7,4.928583882249921e-10,4.1178936010319313e-10,5.935905473766218e-10
Max/Data.Vector.Unboxed:100,1.7160520144060607e-7,1.7147445347701364e-7,1.7174140900148946e-7,4.699638435968207e-10,3.7033067334253975e-10,6.108746700471093e-10
Max/Data.Vector.Storable:100,6.872711193367467e-8,6.861461009115235e-8,6.889628435085024e-8,4.523689890852916e-10,3.149682644219077e-10,6.375012468454205e-10
Max/Data.Sequence:100,2.6438840165338923e-6,2.641137236790662e-6,2.6465552232749974e-6,8.817495565224968e-9,7.560054746556377e-9,1.0923551961105847e-8
Max/Data.Massiv.Array:100,1.0190028496464983e-7,1.0181515409806415e-7,1.0198768382845352e-7,2.7868133038387864e-10,2.3346744288528414e-10,3.3533332719606795e-10
Max/Data.RRBVector:100,8.502924246582884e-7,8.496439825525316e-7,8.508159680958027e-7,1.9811526109846036e-9,1.6500252940790278e-9,2.3718761330086534e-9
Max/Data.List:1000,2.2341799056625902e-6,2.2322377656647147e-6,2.235799950380996e-6,5.847089431756741e-9,5.023282057152589e-9,6.8947531876538485e-9
Max/Data.Vector:1000,1.858298333684055e-6,1.857053577952124e-6,1.8593010867927081e-6,3.828280335473792e-9,3.3077546333621856e-9,4.4351485716818075e-9
Max/Data.Vector.Unboxed:1000,1.694583513096388e-6,1.693408474490688e-6,1.6957912996970431e-6,4.0309052634687075e-9,3.4343213961930036e-9,4.8664352299942565e-9
Max/Data.Vector.Storable:1000,5.758374040051413e-7,5.744152190638278e-7,5.777032303318515e-7,5.487422673436878e-9,3.9117665381318175e-9,8.511873566994269e-9
